,Year,Month,Day,Hour,Minute,GlobHor,DiffHor,BeamNor,T_amb,WindVel,RH,Pressure,Rain,GlobInc,GlobEff,EArray,E_Grid,PR,TArray
Year,1.0,-0.0002430118294570665,0.0002793982851102094,2.7976225913569443e-15,,-0.006161331866762432,0.009072868023911173,-0.013950620601623758,0.022929316544708506,-0.029930596131459163,0.0033159256919831647,0.1630681847542853,-4.879737778560438e-06,-0.004887801521164611,-0.004888532480330843,-0.04615364161813924,-0.04615733395507977,-0.00044884092194394316,0.002005655968935907
Month,-0.0002430118294570665,1.0,0.009936533715863635,3.589535453377753e-16,,-0.01495198465798751,-0.029548742290623986,0.005925499454109004,0.2969064631601896,-0.1524216052395818,-0.20720619570283508,0.028997627240593658,-0.04434723778669556,-0.0017548395713320945,-0.0013448874935466503,-0.006198621959260141,-0.006158040507079512,-0.026622198440703532,0.053135805192144545
Day,0.0002793982851102094,0.009936533715863635,1.0,2.4935106375379396e-17,,-0.002216195909770982,0.0022033341762357165,-0.00951860025193822,-0.00945228608923808,-0.008819031514602881,-0.013179581957930106,-0.0044084192610410805,0.020498283835890654,-0.004046833457163975,-0.003961423449436433,-0.0019452928458183016,-0.0019486065869450324,-0.0022829876824724767,-0.004897586253315134
Hour,2.7976225913569443e-15,3.589535453377753e-16,2.4935106375379396e-17,1.0,,0.11581558467675288,0.11692527094081252,0.12431000285920009,0.085346989359496,0.2647398262209991,-0.21312724294722507,3.4047462913690076e-15,-1.4637298348016175e-18,0.0015704428836815574,0.001683603479008443,0.001020039274460165,0.0010226260381953776,0.0012175711885552627,0.0010823861282517507
Minute,,,,,,,,,,,,,,,,,,,
GlobHor,-0.006161331866762432,-0.01495198465798751,-0.002216195909770982,0.11581558467675288,,1.0,0.8130113101315055,0.8556191364596417,0.534798234317894,-0.16353368063250592,-0.08616263969995328,-0.059337417627036,-0.0843403208295756,0.9395120526958224,0.938253155369515,0.5456285312982384,0.5459602291723072,0.7560515671189276,0.9214843454950704
DiffHor,0.009072868023911173,-0.029548742290623986,0.0022033341762357165,0.11692527094081252,,0.8130113101315055,1.0,0.5369493874345876,0.29548435072338936,-0.1616851865578167,0.18448928612724133,-0.013951582688459804,-0.0024584548920237974,0.7900650803979237,0.7882298660616405,0.4733234568313373,0.4737368906045634,0.7926767664253123,0.7460165783149983
BeamNor,-0.013950620601623758,0.005925499454109004,-0.00951860025193822,0.12431000285920009,,0.8556191364596417,0.5369493874345876,1.0,0.6132218055587172,-0.1628201751290878,-0.24304415148057038,-0.07134816531191264,-0.13929149621573722,0.8038716060370331,0.7967834264066932,0.4617818707346366,0.46206857780485133,0.6818199050063563,0.8538228887543573
T_amb,0.022929316544708506,0.2969064631601896,-0.00945228608923808,0.085346989359496,,0.534798234317894,0.29548435072338936,0.6132218055587172,1.0,-0.13615714774645846,-0.6571518559579929,-0.08820058429635814,-0.1996701166664538,0.4765008643642783,0.4719476931746027,0.24700985628281055,0.24719055077897994,0.36652305157252707,0.6069481761566392
WindVel,-0.029930596131459163,-0.1524216052395818,-0.008819031514602881,0.2647398262209991,,-0.16353368063250592,-0.1616851865578167,-0.1628201751290878,-0.13615714774645846,1.0,0.004401585702363914,-0.06466366850448103,0.22735854899421265,-0.2646400010615325,-0.2630144974873047,-0.16888168836610468,-0.16901312254274503,-0.2632452452651625,-0.2694221660134456
RH,0.0033159256919831647,-0.20720619570283508,-0.013179581957930106,-0.21312724294722507,,-0.08616263969995328,0.18448928612724133,-0.24304415148057038,-0.6571518559579929,0.004401585702363914,1.0,0.11526915807987237,0.28323421052948755,0.0159383388094122,0.016802265032878717,0.005915775559441507,0.005972150061547187,0.1933743631372578,-0.07926383323709185
Pressure,0.1630681847542853,0.028997627240593658,-0.0044084192610410805,3.4047462913690076e-15,,-0.059337417627036,-0.013951582688459804,-0.07134816531191264,-0.08820058429635814,-0.06466366850448103,0.11526915807987237,1.0,-0.030056185426009796,-0.04117672589663647,-0.040904414500001436,-0.2765840894152564,-0.2766447677097169,-0.016785320921978663,-0.05037890894797093
Rain,-4.879737778560438e-06,-0.04434723778669556,0.020498283835890654,-1.4637298348016175e-18,,-0.0843403208295756,-0.0024584548920237974,-0.13929149621573722,-0.1996701166664538,0.22735854899421265,0.28323421052948755,-0.030056185426009796,1.0,-0.08154806013743579,-0.08051676450237283,-0.04613876393488495,-0.046154445947177276,-0.010634976688824372,-0.09133713897392538
GlobInc,-0.004887801521164611,-0.0017548395713320945,-0.004046833457163975,0.0015704428836815574,,0.9395120526958224,0.7900650803979237,0.8038716060370331,0.4765008643642783,-0.2646400010615325,0.0159383388094122,-0.04117672589663647,-0.08154806013743579,1.0,0.9997258214302451,0.5871312225556068,0.5874984950161352,0.8030162614260083,0.9502576380846107
GlobEff,-0.004888532480330843,-0.0013448874935466503,-0.003961423449436433,0.001683603479008443,,0.938253155369515,0.7882298660616405,0.7967834264066932,0.4719476931746027,-0.2630144974873047,0.016802265032878717,-0.040904414500001436,-0.08051676450237283,0.9997258214302451,1.0,0.5881791535820353,0.588542280618658,0.7930432368153868,0.9452609760819407
EArray,-0.04615364161813924,-0.006198621959260141,-0.0019452928458183016,0.001020039274460165,,0.5456285312982384,0.4733234568313373,0.4617818707346366,0.24700985628281055,-0.16888168836610468,0.005915775559441507,-0.2765840894152564,-0.04613876393488495,0.5871312225556068,0.5881791535820353,1.0,0.9999991271897455,0.47717491175011356,0.5439776728480333
E_Grid,-0.04615733395507977,-0.006158040507079512,-0.0019486065869450324,0.0010226260381953776,,0.5459602291723072,0.4737368906045634,0.46206857780485133,0.24719055077897994,-0.16901312254274503,0.005972150061547187,-0.2766447677097169,-0.046154445947177276,0.5874984950161352,0.588542280618658,0.9999991271897455,1.0,0.47760205159012503,0.5443387244216623
PR,-0.00044884092194394316,-0.026622198440703532,-0.0022829876824724767,0.0012175711885552627,,0.7560515671189276,0.7926767664253123,0.6818199050063563,0.36652305157252707,-0.2632452452651625,0.1933743631372578,-0.016785320921978663,-0.010634976688824372,0.8030162614260083,0.7930432368153868,0.47717491175011356,0.47760205159012503,1.0,0.8564109547908512
TArray,0.002005655968935907,0.053135805192144545,-0.004897586253315134,0.0010823861282517507,,0.9214843454950704,0.7460165783149983,0.8538228887543573,0.6069481761566392,-0.2694221660134456,-0.07926383323709185,-0.05037890894797093,-0.09133713897392538,0.9502576380846107,0.9452609760819407,0.5439776728480333,0.5443387244216623,0.8564109547908512,1.0
